Id,Name,Mapid,Agelevel,Totplay,Opentopublic,Invitation,Howtogetthere,Safelocation,Shade,Monitoring,Programming,Weather,Seating,Restrooms,Drinkingw,Activeplay,Socialplay,Creativeplay,Naturualen,Freeplay,Specificcomments,Generalcomments,Compsum,Modsum,Graspvalue,Playclass,Subarea,Created at,Updated at,Lat,Long,Google placesid
68,Cora Kelly School,11,,2,3,2,1,2,1,1,1,1,2,2,2,2,1,1,1,2,"RR around bldg, not much 2-5, loc hidden","access after school only, rec ctr prior until 6pm",8,17,136,SCHOOL,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.838189,-77.058279,f11769244d08918aebeda809bb293abf6b3dee6b
69,Four Mile Run Park,1,"2-5,5-12",2,3,1,1,2,2,1,1,2,1,1,1,2,1,1,2,2,"pleasant,remote,along trail, no benches,no 2-5 sw","feels unsecure, seperated",9,15,135,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.842267,-77.061253,c25ebb33d190cfa6435a093f0e13b4131b83a4f9
70,ARHA_Henry,105,,2,3,3,2,3,1,2,1,1,1,1,1,2,1,1,1,2,"open,exposed,no seating,more 2-5","feels tired,good use",7,18,126,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.816198,-77.111823,2e4dbfb00921150544b3eeb022b45934d196e5b3
71,TC Williams,139,,2,3,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,hidden in pit,High School-Head Start Program,8,15,120,SCHOOL,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.823558,-77.084686,c814e97ea5e0d66bbbd416724ececa932be979fe
72,ARHA_Braddock,104,,1,3,3,3,2,1,2,1,1,1,1,1,1,2,2,1,1,"serves housing,on bus line,location unappealing","no swings/spin,small,feels exp",7,17,119,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.831044,-77.10713,9edf1406d303e3c151785fc5da740db4769dd022
73,ARHA_551 Royal,103,,1,3,3,2,3,2,2,1,2,1,1,1,1,1,1,1,2,"needs better lands,lim shade,more 2-5","feels tired,no 2-5, not inviting",6,19,114,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.809627,-77.042141,e949572fd0fcccf574c6e6b18f7df06a25ce92c5
74,Brookville Apts,111,,1,3,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,"public housing?,feels private,close to pkg lot",not really for 2-5,7,16,112,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.819852,-77.124596,d3b536522e8420c90250682f60ec5b7ca8674499
75,South Port Apt,127,,1,1,2,2,3,1,2,1,1,2,1,1,2,1,1,1,2,"exposed,no shade for seating,no small grp play","no 2-5, needs landscaping and upgrades",7,16,112,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.806045,-77.138761,70823087a64e73550c96810ada206ac8b3bee468
76,Old Town Village,789,,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,2,2, - , - ,7,15,105,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.80353,-77.054055,fcf9e7cb197b5e958780c3cc75b70c8428e5d505
77,Mayflower Square Condos,141,,1,1,1,2,3,2,2,1,2,2,1,1,1,1,1,1,2,"no 2-5,swgs missing",fenced area convert to 2-5,6,17,102,OTHER,SubArea One,10/14/12 17:37,11/18/12 18:03,38.820111,-77.135636,a6c4d6b35997a195232a931ebd1de09a6a616663
78,Summers Grove Townhomes,138,,2,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,2,"play are on sport court,makeshift playgrd",good retrofit where none avail to residents,7,13,91,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.801192,-77.132686,b54019d742b0b90fe0b6fe398c8e91f112fa036f
79,Bennington Crossing Apt,108,,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,"no fence bet play/park,needs landscaping/shade","no swings/spin, not age appropriate",6,15,90,OTHER,SubArea One,10/14/12 17:37,11/18/12 18:03,38.82043,-77.132311,08fb0ea9b6eb756d525f5f2cd8c1a3ef535c4d90
80,EOS 21 Condo,130,,2,1,1,2,3,1,2,1,1,1,2,2,2,2,2,1,2,"needs trees,no2-5,grass nearby",not suited for 2-5 snf not inviting,6,15,90,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.812743,-77.126318,60bcaa696fb0832d1e84725f9860ffa5d1930b40
81,Saxony Square,137,,1,1,2,2,2,2,2,1,2,3,1,1,1,1,1,1,1,"close to pkg,nice bench,no phys 2-5",good shade but squeezed,5,17,85,OTHER,SubArea One,10/14/12 17:37,11/18/12 18:03,38.822583,-77.131748,fd33f7247e7f43b45bea8addb655ae6e43761c64
82,Brent Place,135,,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,locked,"no play space,not for residents",6,11,66,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.808636,-77.130817,d991ab6192bdd576cd78b8caf413d896f01f931c
83,Monarch,100,,1,3,1,2,3,1,2,1,1,2,1,1,1,1,1,1,2,open grass,"no equipment, has potential, in dense space",3,18,54,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.810773,-77.050898,3c28b2446b545a58e6958a2dd58bc55760453672
84,Elbert Apts,115,,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,"visited,playground removed, plans for new", - ,0,0,0,OTHER,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.841172,-77.065215,3dbdff17ff2a389eea86d731953fcb6fb43ef156
85,Portal West,123,,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,"not visited, locked", - ,0,0,0,OTHER,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.842822,-77.066077,0a3c72b02532aa4697c761c80fd9a78fba0e8c16
86,Sentinel of Landmark,126,,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,not able to access, - ,0,0,0,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.812348,-77.140862,47ab159015d82ff61d65b4ec163d803a502695dd
